Category,Value
PIZZA_STYLE,cauliflower_crust
PIZZA_STYLE,gluten_free_crust
PIZZA_STYLE,keto_crust
PIZZA_STYLE,sourdough_crust
PIZZA_STYLE,stuffed_crust
PIZZA_STYLE,thick_crust
PIZZA_STYLE,thin_crust
PIZZA_STYLE,vegan
PIZZA_STYLE,vegetarian
PIZZA_STYLE,supreme
PIZZA_STYLE,new_york_style
PIZZA_STYLE,neapolitan
PIZZA_STYLE,mediterranean
PIZZA_STYLE,mexican
PIZZA_STYLE,meat_lover
PIZZA_STYLE,margherita
PIZZA_STYLE,hawaiian
PIZZA_STYLE,deep_dish
PIZZA_STYLE,combination
PIZZA_STYLE,chicago_style
PIZZA_STYLE,cheese_lover
PIZZA_STYLE,all_toppings
PIZZA_STYLE,all_vegetables
PIZZA_TOPPING,alfredo_chicken
PIZZA_TOPPING,american_cheese
PIZZA_TOPPING,anchovies
PIZZA_TOPPING,artichokes
PIZZA_TOPPING,arugula
PIZZA_TOPPING,bacon
PIZZA_TOPPING,balsamic_glaze
PIZZA_TOPPING,banana_peppers
PIZZA_TOPPING,basil
PIZZA_TOPPING,bay_leaves
PIZZA_TOPPING,bbq_chicken
PIZZA_TOPPING,bbq_pulled_pork
PIZZA_TOPPING,bbq_sauce
PIZZA_TOPPING,beans
PIZZA_TOPPING,beef
PIZZA_TOPPING,broccoli
PIZZA_TOPPING,buffalo_chicken
PIZZA_TOPPING,buffalo_mozzarella
PIZZA_TOPPING,buffalo_sauce
PIZZA_TOPPING,caramelized_onions
PIZZA_TOPPING,carrots
PIZZA_TOPPING,cheddar_cheese
PIZZA_TOPPING,cheese
PIZZA_TOPPING,cheeseburger
PIZZA_TOPPING,cherry_tomatoes
PIZZA_TOPPING,chicken
PIZZA_TOPPING,chorizo
PIZZA_TOPPING,cumin
PIZZA_TOPPING,dried_peppers
PIZZA_TOPPING,dried_tomatoes
PIZZA_TOPPING,feta_cheese
PIZZA_TOPPING,fried_onions
PIZZA_TOPPING,garlic_powder
PIZZA_TOPPING,green_olives
PIZZA_TOPPING,green_peppers
PIZZA_TOPPING,grilled_chicken
PIZZA_TOPPING,grilled_pineapple
PIZZA_TOPPING,ham
PIZZA_TOPPING,hot_peppers
PIZZA_TOPPING,italian_sausage
PIZZA_TOPPING,jalapeno_peppers
PIZZA_TOPPING,kalamata_olives
PIZZA_TOPPING,lettuce
PIZZA_TOPPING,low_fat_cheese
PIZZA_TOPPING,meatballs
PIZZA_TOPPING,mozzarella_cheese
PIZZA_TOPPING,mushrooms
PIZZA_TOPPING,olive_oil
PIZZA_TOPPING,olives
PIZZA_TOPPING,onions
PIZZA_TOPPING,oregano
PIZZA_TOPPING,parmesan_cheese
PIZZA_TOPPING,parsley
PIZZA_TOPPING,peas
PIZZA_TOPPING,pecorino_cheese
PIZZA_TOPPING,pepperoni
PIZZA_TOPPING,peppers
PIZZA_TOPPING,pesto
PIZZA_TOPPING,pickles
PIZZA_TOPPING,pineapple
PIZZA_TOPPING,ranch_sauce
PIZZA_TOPPING,red_onions
PIZZA_TOPPING,red_pepper_flakes
PIZZA_TOPPING,red_peppers
PIZZA_TOPPING,ricotta_cheese
PIZZA_TOPPING,roasted_chicken
PIZZA_TOPPING,roasted_garlic
PIZZA_TOPPING,roasted_peppers
PIZZA_TOPPING,roasted_red_peppers
PIZZA_TOPPING,roasted_green_peppers
PIZZA_TOPPING,roasted_tomatoes
PIZZA_TOPPING,rosemary
PIZZA_TOPPING,salami
PIZZA_TOPPING,sauce
PIZZA_TOPPING,sausage
PIZZA_TOPPING,shrimps
PIZZA_TOPPING,spiced_sausage
PIZZA_TOPPING,spicy_red_sauce
PIZZA_TOPPING,spinach
PIZZA_TOPPING,tomato_sauce
PIZZA_TOPPING,tomatoes
PIZZA_TOPPING,tuna
PIZZA_TOPPING,vegan_pepperoni
PIZZA_TOPPING,white_onions
PIZZA_TOPPING,yellow_peppers
PIZZA_SIZE,small
PIZZA_SIZE,medium
PIZZA_SIZE,large
PIZZA_SIZE,extra_large
PIZZA_SIZE,regularsize
PIZZA_SIZE,party_size
PIZZA_SIZE,lunch_size
PIZZA_SIZE,personal_size
PIZZA_SIZE,personal-size
DRINK_TYPE,seven_up
DRINK_TYPE,cherry_coke
DRINK_TYPE,cherry_pepsi
DRINK_TYPE,coffee
DRINK_TYPE,coke
DRINK_TYPE,coke_zero
DRINK_TYPE,dr_pepper
DRINK_TYPE,fanta
DRINK_TYPE,ginger_ale
DRINK_TYPE,ice_tea
DRINK_TYPE,lemon_ice_tea
DRINK_TYPE,mountain_dew
DRINK_TYPE,pellegrino_sparkling_water
DRINK_TYPE,pepsi
DRINK_TYPE,perrier_sparkling_water
DRINK_TYPE,pineapple_soda
DRINK_TYPE,sprite
DRINK_TYPE,water
DRINK_TYPE,diet_pepsi
DRINK_TYPE,diet_coke
DRINK_TYPE,diet_sprite
DRINK_TYPE,diet_ice_tea
CONTAINER_TYPE,bottle
CONTAINER_TYPE,can
VOLUME,1 liter
VOLUME,2 liter
VOLUME,3 liter
VOLUME,500 ml
VOLUME,200 ml
VOLUME,8 oz
VOLUME,16 oz
VOLUME,20 floz
VOLUME,12 floz
VOLUME,7.5 floz
VOLUME,16.9 floz
